cityId,stateId,en_name,lat,lng,state_name,country_name
793,2,Hanguranketha,7.1517,80.7118,Central,Sri Lanka
794,2,Harangalagama,7.0271,80.5493,Central,Sri Lanka
795,2,Hataraliyadda,7.3333,80.4667,Central,Sri Lanka
796,2,Hindagala,7.231512,80.600815,Central,Sri Lanka
797,2,Hondiyadeniya,7.1364,80.5766,Central,Sri Lanka
798,2,Hunnasgiriya,7.298756,80.849834,Central,Sri Lanka
799,2,Inguruwatta,7.175038,80.599767,Central,Sri Lanka
800,2,Jambugahapitiya,7.3833,80.6333,Central,Sri Lanka
801,2,Kadugannawa,7.2536,80.5275,Central,Sri Lanka
802,2,Kahataliyadda,7.376,80.8213,Central,Sri Lanka
803,2,Kalugala,7.390136,80.883008,Central,Sri Lanka
804,2,Kandy,7.2964,80.635,Central,Sri Lanka
805,2,Kapuliyadde,7.2401,80.6808,Central,Sri Lanka
806,2,Katugastota,7.3161,80.6211,Central,Sri Lanka
807,2,Katukitula,7.1089,80.6339,Central,Sri Lanka
808,2,Kelanigama,7.0049,80.5182,Central,Sri Lanka
809,2,Kengalla,7.296461,80.711767,Central,Sri Lanka
810,2,Ketaboola,7.0271,80.5493,Central,Sri Lanka
811,2,Ketakumbura,7.210532,80.571678,Central,Sri Lanka
812,2,Kobonila,7.376,80.8213,Central,Sri Lanka
813,2,Kolabissa,7.225,80.7167,Central,Sri Lanka
814,2,Kolongoda,7.3552,80.8375,Central,Sri Lanka
815,2,Kulugammana,7.315193,80.590268,Central,Sri Lanka
816,2,Kumbukkandura,7.2969,80.7686,Central,Sri Lanka
817,2,Kumburegama,7.357279,80.551316,Central,Sri Lanka
818,2,Kundasale,7.2667,80.6833,Central,Sri Lanka
819,2,Leemagahakotuwa,7.2333,80.5833,Central,Sri Lanka
820,2,lhala Kobbekaduwa,7.3167,80.5833,Central,Sri Lanka
821,2,Lunugama,7.198402,80.578244,Central,Sri Lanka
822,2,Lunuketiya Maditta,7.3292,80.716,Central,Sri Lanka
823,2,Madawala Bazaar,7.2696,80.6537,Central,Sri Lanka
824,2,Madawalalanda,7.3792,80.4982,Central,Sri Lanka
825,2,Madugalla,7.265802,80.882139,Central,Sri Lanka
826,2,Madulkele,7.400281,80.728874,Central,Sri Lanka
827,2,Mahadoraliyadda,7.3,80.85,Central,Sri Lanka
828,2,Mahamedagama,7.225,80.7167,Central,Sri Lanka
829,2,Mahanagapura,7.3792,80.4982,Central,Sri Lanka
830,2,Mailapitiya,7.1517,80.7118,Central,Sri Lanka
831,2,Makkanigama,7.3833,80.6333,Central,Sri Lanka
832,2,Makuldeniya,7.341706,80.777466,Central,Sri Lanka
833,2,Mangalagama,7.285856,80.563656,Central,Sri Lanka
834,2,Mapakanda,7.007889,80.531101,Central,Sri Lanka
835,2,Marassana,7.221663,80.732336,Central,Sri Lanka
836,2,Marymount Colony,7.1517,80.7118,Central,Sri Lanka
837,2,Mawatura,7.1,80.5667,Central,Sri Lanka
838,2,Medamahanuwara,7.3,80.85,Central,Sri Lanka
839,2,Medawala Harispattuwa,7.3417,80.6833,Central,Sri Lanka
840,2,Meetalawa,7.0986,80.4699,Central,Sri Lanka
841,2,Megoda Kalugamuwa,7.2631,80.6028,Central,Sri Lanka
842,2,Menikdiwela,7.288455,80.501662,Central,Sri Lanka
843,2,Menikhinna,7.3167,80.7,Central,Sri Lanka
844,2,Mimure,7.4333,80.8333,Central,Sri Lanka
845,2,Minigamuwa,7.3333,80.5167,Central,Sri Lanka
846,2,Minipe,7.223556,80.990971,Central,Sri Lanka
847,2,Moragahapallama,7.3792,80.4982,Central,Sri Lanka
848,2,Murutalawa,7.3,80.5667,Central,Sri Lanka
849,2,Muruthagahamulla,7.1364,80.5766,Central,Sri Lanka
850,2,Nanuoya,7.1171,80.6387,Central,Sri Lanka
851,2,Naranpanawa,7.339733,80.729831,Central,Sri Lanka
852,2,Narawelpita,7.3167,80.8,Central,Sri Lanka
853,2,Nawalapitiya,7.05048,80.530631,Central,Sri Lanka
854,2,Nawathispane,7.0333,80.5,Central,Sri Lanka
855,2,Nillambe,7.15,80.6333,Central,Sri Lanka
856,2,Nugaliyadda,7.2333,80.7,Central,Sri Lanka
857,2,Ovilikanda,7.45,80.5667,Central,Sri Lanka
858,2,Pallekotuwa,7.3333,80.5667,Central,Sri Lanka
859,2,Panwilatenna,7.1556,80.6314,Central,Sri Lanka
860,2,Paradeka,7.12293,80.618959,Central,Sri Lanka
861,2,Pasbage,7.0358,80.5262,Central,Sri Lanka
862,2,Pattitalawa,7.1167,80.4667,Central,Sri Lanka
863,2,Peradeniya,7.2631,80.6028,Central,Sri Lanka
864,2,Pilimatalawa,7.2333,80.5333,Central,Sri Lanka
865,2,Poholiyadda,7.343274,80.520186,Central,Sri Lanka
866,2,Pubbiliya,7.385927,80.481336,Central,Sri Lanka
867,2,Pupuressa,7.115632,80.677455,Central,Sri Lanka
868,2,Pussellawa,7.112565,80.644101,Central,Sri Lanka
869,2,Putuhapuwa,7.334198,80.759353,Central,Sri Lanka
870,2,Rajawella,7.280519,80.748217,Central,Sri Lanka
871,2,Rambukpitiya,7.0333,80.5,Central,Sri Lanka
872,2,Rambukwella,7.294759,80.777664,Central,Sri Lanka
873,2,Rangala,7.344486,80.795047,Central,Sri Lanka
874,2,Rantembe,7.3552,80.8375,Central,Sri Lanka
875,2,Sangarajapura,7.3167,80.5833,Central,Sri Lanka
876,2,Senarathwela,7.280125,80.761602,Central,Sri Lanka
877,2,Talatuoya,7.2536,80.6925,Central,Sri Lanka
878,2,Teldeniya,7.2969,80.7686,Central,Sri Lanka
879,2,Tennekumbura,7.2833,80.6667,Central,Sri Lanka
880,2,Uda Peradeniya,7.249001,80.614072,Central,Sri Lanka
881,2,Udahentenna,7.0889,80.5189,Central,Sri Lanka
882,2,Udatalawinna,7.3161,80.6211,Central,Sri Lanka
883,2,Udispattuwa,7.3552,80.8375,Central,Sri Lanka
884,2,Ududumbara,7.3552,80.8375,Central,Sri Lanka
